card_name,image,attack,defence,card_type,level,type
100-Year Awakening,https://uploads4.yugioh.com/card_images/4558/list/100-Year-Awakening.jpg?1389374691,,,Normal Spell,,
4-Starred Ladybug of Doom,https://uploads4.yugioh.com/card_images/9/list/4-Starred-Ladybug-of-Doom.jpg?1373924365,800,1200,Effect Monster,3,Insect
8-Claws Scorpion,https://uploads2.yugioh.com/card_images/4209/list/2633.jpg?1385102760,300,200,Effect Monster,2,Insect
A Deal with Dark Ruler,https://uploads4.yugioh.com/card_images/1683/list/2651.jpg?1385102159,,,Normal Trap,,
A Feather of the Phoenix,https://uploads1.yugioh.com/card_images/4642/list/A-Feather-of-the-Phoenix_FL.jpg?1392833068,,,Normal Spell,,
A Hero Emerges,https://uploads4.yugioh.com/card_images/1090/list/1222.jpg?1385099024,,,Normal Trap,,
A Legendary Ocean,https://uploads1.yugioh.com/card_images/10/list/A-Legendary-Ocean.jpg?1373924468,,,Field Spell,,
A Wingbeat of Giant Dragon,https://uploads1.yugioh.com/card_images/2985/list/3827.jpg?1385127350,,,Normal Spell,,
A/D Changer,https://uploads2.yugioh.com/card_images/4645/list/AD-Changer.jpg?1392833236,100,100,Effect Monster,1,Warrior
Abaki,https://uploads1.yugioh.com/card_images/4643/list/Abaki.jpg?1392833141,1700,1100,Effect Monster,4,Fiend
Absorb Spell,https://uploads2.yugioh.com/card_images/12/list/Absorb-Spell.jpg?1373925176,,,Quick-Play Spell,,
Absurd Stealer,https://uploads2.yugioh.com/card_images/4033/list/5829.jpg?1385135592,100,0,Effect Monster,1,Machine
Acceleration Zone,https://uploads3.yugioh.com/card_images/3494/list/5536.jpg?1385134484,,,Normal Trap,,
Accellight,https://uploads1.yugioh.com/card_images/5101/list/Accellight.jpg?1409067515,,,Spell,,
Ace of Sword,https://uploads4.yugioh.com/card_images/4320/list/Ace-of-Sword.jpg?1386955380,,,Normal Spell,,
Ace of Wand,https://uploads1.yugioh.com/card_images/4644/list/Ace-of-Wand.jpg?1392833181,,,Normal Trap,,
Achacha Archer,https://uploads2.yugioh.com/card_images/1069/list/738.jpg?1385098981,1200,600,Effect Monster,,Warrior
Achacha Chanbara,https://uploads2.yugioh.com/card_images/4246/list/achacha_chanbara.jpg?1386797673,1400,400,Effect Monster,3,Warrior
Acorno,https://uploads1.yugioh.com/card_images/515/list/Korobokuri.jpg?1380143574,200,400,Effect Monster,,Plant
Acrobat Monkey,https://uploads3.yugioh.com/card_images/1488/list/2753.jpg?1385101767,1000,1800,Normal Monster,3,Machine
Active Guard,https://uploads3.yugioh.com/card_images/1905/list/1862.jpg?1385102609,0,2500,Armor Monster,4,Machine
Adamantine Sword Revival,https://uploads1.yugioh.com/card_images/15/list/Adamantine-Sword-Revival.jpg?1374005095,,,Quick-Play Spell,,
Adapt to Adversity,https://uploads4.yugioh.com/card_images/854/list/%E9%80%86%E5%A2%83%E9%81%A9%E5%BF%9C.jpg?1382371828,,,Continuous Trap,,
Advance Draw,https://uploads3.yugioh.com/card_images/4149/list/5533.jpg?1385135827,,,Normal Spell,,
Advance Force,https://uploads1.yugioh.com/card_images/5299/list/Advance_Force.jpg?1439576012,,,Continuous Spell,,
Advanced Crystal Beast Amber Mammoth,https://uploads3.yugioh.com/card_images/4307/list/A-Amber-Mammoth.jpg?1386909838,1700,1600,Effect Monster,4,Beast
Advanced Crystal Beast Amethyst Cat,https://uploads1.yugioh.com/card_images/4308/list/A-Amethyst-Cat.jpg?1386909881,1200,400,Effect Monster,3,Beast
